id,title,url,publication_date,accessed_on,source_type,trust_level,local_path,notes
OFF-01,"NCC 2026 Home","https://ncc.co.ug/","",2026-04-22,"official conference page","high","sources/official/ncc-2026-home.html","Confirms event dates, venue, theme, and keynote emphasis."
OFF-02,"NCC 2026 Call for Papers","https://ncc.co.ug/call-for-papers","",2026-04-22,"official conference page","high","sources/official/ncc-2026-call-for-papers.html","Confirms submission types, deadline, acceptance date, and high-level tracks."
OFF-03,"Template for Research Papers","https://ncc.co.ug/template-for-research-papers","",2026-04-22,"official conference page","high","sources/official/ncc-template-for-research-papers.html","Public template page is still branded around NCC-25 / IJBEST formatting."
OFF-04,"NCC Masterclass Page","https://ncc.co.ug/masterclass","",2026-04-22,"official conference page","high","sources/official/ncc-masterclass.html","Public page still references NCC Conference 2025; treat as stale-but-useful context."
OFF-05,"UCC launches 10th National Conference on Communications to drive market-driven innovation","https://www.ucc.co.ug/ucc-launches-10th-national-conference-on-communications-to-drive-market-driven-innovation/",2026-04-20,2026-04-22,"official UCC news","high","sources/official/ucc-launches-ncc-2026.html","Strongest official statement of 2026 positioning and market-driven emphasis."
OFF-06,"Call for Research Proposals for UCC Research Support to Academia","https://www.ucc.co.ug/wp-content/uploads/2026/04/Call-for-Research-Proposals-April-2026.pdf","",2026-04-22,"official UCC PDF","high","sources/official/ucc-call-for-research-proposals-apr-2026.pdf","Useful for UCC's current research priorities, proposal sections, funding lots, and selection mechanics."
OFF-07,"UCC Research Support and Collaboration Framework 2022-2026","https://www.ucc.co.ug/wp-content/uploads/2023/10/UCC-Research-Support-and-Collaboration-Framework-2022-2026.pdf",2023-10-31,2026-04-22,"official UCC PDF","high","sources/official/ucc-research-support-collaboration-framework-2022-2026.pdf","Key evaluation priorities and proposal-quality expectations."
OFF-08,"New Communications Sector Report Highlights Efforts to Bridge Access and Usage Gaps","https://www.ucc.co.ug/new-communications-sector-report-highlights-efforts-to-bridge-access-and-usage-gaps/",2025-12-15,2026-04-22,"official UCC news","high","sources/official/ucc-access-usage-gaps.html","Strong source for access, usage, affordability, local content, and underserved-area priorities."
OFF-09,"New study digs into how tax policy shapes telecom sector growth","https://www.ucc.co.ug/new-study-digs-into-how-tax-policy-shapes-telecom-sector-growth/",2025-12-11,2026-04-22,"official UCC news","high","sources/official/ucc-tax-policy-telecom-growth.html","Useful for affordability, device cost, and investment constraints."
OFF-10,"Study validates energy use and environmental impact of Uganda's telecom sector","https://www.ucc.co.ug/study-validates-energy-use-and-environmental-impact-of-ugandas-telecom-sector/",2026-02-09,2026-04-22,"official UCC news","high","sources/official/ucc-energy-footprint-study.html","Supports the green-transition and telecom-energy priority theme."
OFF-11,"UCC cracks down on illegal and non-compliant broadcasters","https://www.ucc.co.ug/ucc-cracks-down-on-illegal-and-non-compliant-broadcasters/",2024-09-25,2026-04-22,"official UCC news","high","sources/official/ucc-illegal-broadcasters-crackdown.html","Directly relevant to interference, signal integrity, aviation, and compliance."
OFF-12,"UCC Leaders Engage Experts on Satellite Communications and Regulatory Preparedness","https://www.ucc.co.ug/ucc-leaders-engage-experts-on-satellite-communications-and-regulatory-preparedness/",2026-04-13,2026-04-22,"official UCC news","high","sources/official/ucc-satellite-regulatory-preparedness.html","Strong signal on next-gen infrastructure, remote coverage, spectrum, and regulation."
OFF-13,"UCC Board","https://www.ucc.co.ug/the-board/","",2026-04-22,"official UCC leadership page","high","sources/official/ucc-board.html","Used for board names and proxy decision-maker mapping."
OFF-14,"UCC Leadership","https://www.ucc.co.ug/ucc-leadership/","",2026-04-22,"official UCC leadership page","high","sources/official/ucc-leadership.html","Used for current leadership and proxy decision-maker mapping."
OFF-15,"George William Nyombi Thembo profile","https://www.ucc.co.ug/staff-member/george-william-nyombi-thembo-2/","",2026-04-22,"official UCC leadership profile","high","sources/official/ucc-nyombi-profile.html","Useful for Executive Director background, public-sector experience, and regulatory lens."
OFF-16,"Christine Mugimba profile","https://www.ucc.co.ug/staff-member/christine-mugimba/","",2026-04-22,"official UCC leadership profile","high","sources/official/ucc-christine-mugimba-profile.html","Useful for ICT and Research leadership lens."
OFF-17,"Julianne R. Mweheire profile","https://www.ucc.co.ug/staff-member/julianne-r-mweheire/","",2026-04-22,"official UCC leadership profile","high","sources/official/ucc-julianne-mweheire-profile.html","Useful for affordability, consumer-protection, and economic-regulation lens."
OFF-18,"James Beronda profile","https://www.ucc.co.ug/staff-member/james-beronda/","",2026-04-22,"official UCC leadership profile","high","sources/official/ucc-james-beronda-profile.html","Useful for UCUSAF and underserved-area utility lens."
OFF-19,"Key Information on Hosting of the National Conferene on Communications","https://www.ucc.co.ug/download/key-information-on-hosting-of-the-national-conferene-on-communications/",2024-08-30,2026-04-22,"official UCC download page","high","sources/official/ucc-key-info-hosting-ncc.html","Shows NCC is managed as a strategic hosted program rather than a one-off event."
WIN-01,"NCC 2025 conference recap and winners","https://ncc.co.ug/blog/harnessing-digital-innovation-to-power-sustainable-local-solutions-for-ugandas-development-goals-10/harnessing-digital-innovation-to-power-sustainable-local-solutions-for-ugandas-development-goals-7",2025-10-24,2026-04-22,"official conference recap","high","sources/winners/ncc-2025-winners.html","Primary source for 2025 winners, moderators, and post-conference takeaways."
WIN-02,"NCC 2025 launch","https://ncc.co.ug/blog/ncc-press-brief-6/ncc-launch-1st-august-3",2025-08-01,2026-04-22,"official conference launch page","high","sources/winners/ncc-2025-launch.html","Primary source for advisory board names and bios."
WIN-03,"Conference Proceedings - NCC 2025","https://ncc.co.ug/web/content/2168?download=true&unique=1485586cf35736ed4f2d5db2f4547d0efbd1d2bf","",2026-04-22,"official proceedings PDF","high","sources/official/ncc-2025-proceedings.pdf","Archived locally; title metadata and companion recap pages are more reliable than raw extraction."
WIN-04,"FareFlow journal landing page","https://www.ijbest.ac.ug/journal/fareflow-an-iot-and-cloud-based-smart-bus-fare-collection-system-for-sustainable-urban-transport/","",2026-04-22,"winner artifact landing page","medium","sources/winners/fareflow-journal-page.html","Useful for abstract-level framing and impact language."
WIN-05,"FareFlow paper PDF","https://www.ijbest.ac.ug/wp-content/uploads/2026/01/13.-FareFlor-An-IoT-and-Cloud-based.-Pushu-and-Mayur.pdf","",2026-04-22,"winner artifact PDF","high","sources/winners/fareflow-paper.pdf","Full accessible winner paper used for structure and style analysis."
WIN-06,"KobWeb Magazine 2025","https://renu.ac.ug/wp-content/uploads/2026/03/KobWeb-Magazine-2025-final.pdf","",2026-04-22,"winner-adjacent artifact PDF","high","sources/winners/kobweb-magazine-2025.pdf","Contains the best-paper article adaptation for the UAV-assisted HetNet winning topic."
WIN-07,"NCC 2022 Book of Abstracts","https://ncc-2022.github.io/7TH%20NCC%20BOOK%20OF%20ABSTRACTS%202022..pdf",2022-06-21,2026-04-22,"historical NCC proceedings artifact","high","sources/winners/ncc-2022-book-of-abstracts.pdf","Useful for older NCC framing and organizer priorities."
WIN-08,"NCC 2022 Organizing Committee","https://ncc-2022.github.io/Organizing%20Committee.html","",2026-04-22,"historical NCC committee page","high","sources/winners/ncc-2022-organizing-committee.html","Useful for host-university technical leadership history."
BG-01,"ICT Clubs in Uganda recap of NCC 2025","https://ictclubs.ug/the-9th-national-communication-conference/",2025-10-10,2026-04-22,"secondary public recap","medium","sources/background/ictclubs-ncc-2025-recap.html","Useful for identifying public roles such as Nicholas Mbonimpa and Ronald Bakakimpa."
BG-02,"Prof. Pius Coxwell Achanga profile","https://mmu.ac.ug/personnel/prof-pius-coxwell-achanga/","",2026-04-22,"official university profile","high","sources/background/pius-coxwell-achanga-mmu.html","Used for moderator background and institutional leadership lens."
BG-03,"Prof. John F. Mugisha profile","https://www.bsu.ac.ug/profile/prof-john-f-mugisha/",2024-06-26,2026-04-22,"official university profile","high","sources/background/john-mugisha-bsu.html","Used for moderator background, grants orientation, and academic leadership lens. Public Google Maps API key embedded in captured page was redacted during the FYP move."
BG-04,"Dr. Abubaker Matovu Waswa profile","https://cedat.mak.ac.ug/personnel/dr-abubaker-matovu-waswa-phd/",2026-02-12,2026-04-22,"official university profile","high","sources/background/abubaker-waswa-matovu-cedat.html","Used for moderator and host technical-lead mapping."
BG-05,"Assoc. Prof. Kizito Maria Kasule profile","https://cedat.mak.ac.ug/personnel/assoc-prof-kizito-maria-kasule-phd/",2023-03-26,2026-04-22,"official university profile","high","sources/background/kizito-maria-kasule-cedat.html","Used for host-institution leadership mapping."
BG-06,"Edwin Mugume, PhD - Connecting the Unconnected","https://ctu.ieee.org/bios/l/edwin-mugume-phd/",2022-11-03,2026-04-22,"public IEEE initiative bio","high","sources/background/edwin-mugume-ieee-bio.html","Useful for technical-chair background, wireless credentials, and publication-quality lens."
SUP-01,"Supervisor Practical Concept Note for GSMA/UCC","",2026-04-23,2026-04-23,"user-supplied concept note","medium","sources/background/supervisor-concept-note-2026-04-23.md","Primary source for new pilot framing; numeric claims require separate verification before NCC use."
SUP-02,"Dr. Ephrance chat clarification","",2026-04-23,2026-04-23,"user-supplied chat clarification","medium","sources/background/dr-ephrance-chat-clarification-2026-04-23.md","Clarifies that the concept-note figures are proposal-level expected results / ideology, not current paper evidence."
DISC-01,"The 6th National Conference on Communications: Connectivity, Resilence and Innovation in the COVID-19 Era","https://library.ucc.co.ug/cgi-bin/koha/opac-search.pl?q=Provider%3AUganda+Communications+Commission+%3B",2021,2026-04-22,"UCC library catalog discovery","medium","","Catalog confirms older NCC proceedings and indicates an online-access link, but the direct file URL was not extracted."
